sample_id,HAVCR2,LAG3,PDCD1,TIGIT
TCGA-3L-AA1B-01,86.0735,38.6847,19.3424,77.3694
TCGA-4N-A93T-01,17.9003,29.0276,12.0948,16.449
TCGA-4T-AA8H-01,10.9669,43.8677,4.3868,11.698
TCGA-5M-AAT4-01,28.3993,19.7935,6.4544,3.012
TCGA-5M-AAT5-01,25.7199,16.8168,8.903,5.9354
TCGA-5M-AAT6-01,505.302,297.931,91.873,148.309
TCGA-5M-AATA-01,67.5944,52.4851,28.6282,19.4831
TCGA-5M-AATE-01,46.6807,8.9243,8.9243,10.9837
TCGA-A6-2671-01,193.6875,89.6972,22.4979,13.885
TCGA-A6-2672-01,480.7607,303.7441,153.8521,98.4392
TCGA-A6-2674-01,528.1459,129.4032,41.1787,47.5833
TCGA-A6-2675-01,360.89,63.1153,32.9063,67.9703
TCGA-A6-2676-01,492.0079,258.6816,94.5614,49.4706
TCGA-A6-2677-01,54.2989,5.2533,4.4249,7.204
TCGA-A6-2678-01,317.8191,71.6025,20.4973,57.368
TCGA-A6-2679-01,30.1406,30.5714,152.7995,10.8651
TCGA-A6-2680-01,119.1831,68.5466,31.4322,29.172
TCGA-A6-2681-01,177.55,55.215,24.7642,22.2936
TCGA-A6-2682-01,176.554,33.9725,11.8389,10.2947
TCGA-A6-2683-01,41.1383,13.565,11.7584,7.0417
TCGA-A6-2684-01,324.589,105.723,20.4028,70.946
TCGA-A6-2685-01,627.037,48.5448,21.5755,45.8478
TCGA-A6-2686-01,711.848,395.417,114.091,208.191
TCGA-A6-3807-01,254.5794,54.2731,46.1015,44.1448
TCGA-A6-3808-01,228.5694,59.5518,37.2715,55.8553
TCGA-A6-3809-01,568.3657,212.3349,140.2007,116.0208
TCGA-A6-3810-01,362.594,83.712,17.7575,45.7691
TCGA-A6-4105-01,396.258,240.933,124.567,73.3051
TCGA-A6-4107-01,197.3859,48.1667,15.2646,29.4435
TCGA-A6-5656-01,43.6947,18.2522,6.0841,11.615
TCGA-A6-5657-01,110.269,49.956,69.1464,95.3428
TCGA-A6-5659-01,68.5751,16.1854,7.2408,22.5744
TCGA-A6-5660-01,149.914,9.8797,6.8729,19.7595
TCGA-A6-5661-01,89.2711,32.76,15.561,35.217
TCGA-A6-5662-01,83.5498,6.9264,56.2771,3.4632
TCGA-A6-5664-01,238.179,58.3771,53.7069,73.7887
TCGA-A6-5665-01,157.615,91.0042,48.7858,61.9204
TCGA-A6-5666-01,24.4524,3.0565,11.2073,3.0565
TCGA-A6-5667-01,99.629,32.2205,15.6863,21.1977
TCGA-A6-6137-01,89.535,55.3825,19.3839,101.073
TCGA-A6-6138-01,424.366,387.681,85.1449,194.746
TCGA-A6-6140-01,44.8411,30.4745,11.7545,25.6857
TCGA-A6-6141-01,148.239,145.164,103.952,142.088
TCGA-A6-6142-01,171.17,23.3679,8.763,9.9314
TCGA-A6-6648-01,55.1461,28.4625,7.6239,19.568
TCGA-A6-6649-01,87.0605,61.2294,19.772,67.9263
TCGA-A6-6650-01,36.4871,15.9146,10.8685,9.3159
TCGA-A6-6651-01,445.189,138.624,46.9061,138.205
TCGA-A6-6652-01,28.0825,6.5818,5.2655,6.5818
TCGA-A6-6653-01,126.656,61.5618,14.6335,27.7532
TCGA-A6-6654-01,619.867,141.776,52.3056,204.175
TCGA-A6-6780-01,756.797,308.453,168.067,81.562
TCGA-A6-6781-01,522.716,147.776,68.8666,131.038
TCGA-A6-6782-01,230.6,64.3739,26.455,47.619
TCGA-A6-A565-01,225.139,81.3309,64.695,170.055
TCGA-A6-A566-01,772.572,90.4139,35.542,130.321
TCGA-A6-A567-01,44.4789,11.3783,5.172,4.1376
TCGA-A6-A56B-01,96.3139,15.4578,2.3781,10.7015
TCGA-A6-A5ZU-01,258.108,25.4096,26.7469,49.4818
TCGA-AA-3488-01,53.4557,39.1061,35.5066,8.7752
TCGA-AA-3489-01,348.255,117.982,80.4249,181.715
TCGA-AA-3492-01,191.549,84.0471,45.9327,32.2506
TCGA-AA-3494-01,71.867,25.948,19.1349,16.6408
TCGA-AA-3495-01,105.289,67.308,30.7694,49.0387
TCGA-AA-3496-01,322.897,122.535,60.4398,91.0736
TCGA-AA-3502-01,168.116,61.8357,22.7053,21.256
TCGA-AA-3506-01,143.387,88.5493,29.2168,24.7219
TCGA-AA-3510-01,247.5123,64.3353,38.6743,38.2737
TCGA-AA-3511-01,87.9309,34.5748,10.6712,29.0257
TCGA-AA-3514-01,91.5516,41.7632,29.3581,23.7764
TCGA-AA-3517-01,150.3741,45.1152,19.3183,16.8059
TCGA-AA-3518-01,200.3459,121.6739,62.5216,48.5974
TCGA-AA-3519-01,119.8098,59.0598,12.229,5.6226
TCGA-AA-3520-01,256.7253,33.0295,15.8993,15.6035
TCGA-AA-3521-01,157.3509,13.7325,19.0464,22.9096
TCGA-AA-3522-01,139.6307,26.6438,20.408,30.8938
TCGA-AA-3524-01,107.523,9.3474,23.0697,35.9176
TCGA-AA-3525-01,120.1612,63.2978,24.0845,23.2081
TCGA-AA-3526-01,230.417,68.2547,47.6409,50.3894
TCGA-AA-3527-01,144.7495,100.3786,65.6699,38.0056
TCGA-AA-3529-01,97.2972,18.4596,17.1855,30.4467
TCGA-AA-3530-01,133.9551,48.374,17.5823,26.6699
TCGA-AA-3531-01,42.0399,18.1355,31.8717,19.1626
TCGA-AA-3532-01,370.1101,87.9611,69.3067,75.7726
TCGA-AA-3534-01,115.8659,22.8096,15.1242,9.1781
TCGA-AA-3538-01,149.8713,10.8529,7.1585,20.8884
TCGA-AA-3542-01,81.4853,31.9499,8.4977,2.765
TCGA-AA-3543-01,407.4371,381.2691,179.6842,101.4485
TCGA-AA-3544-01,375.2499,240.0353,92.0684,73.0735
TCGA-AA-3548-01,149.137,108.8643,47.7983,42.1035
TCGA-AA-3549-01,109.8058,73.0433,35.4698,28.6533
TCGA-AA-3552-01,205.7724,195.9706,51.9005,49.4766
TCGA-AA-3553-01,213.8688,62.9485,54.077,38.1082
TCGA-AA-3555-01,137.8249,26.1555,11.0486,17.1744
TCGA-AA-3560-01,240.8833,55.7104,5.2347,26.905
TCGA-AA-3561-01,101.6331,28.6329,8.6849,5.0999
TCGA-AA-3655-01,152.063,52.8512,24.1076,37.0885
TCGA-AA-3660-01,95.6522,33.8164,26.087,25.1208
TCGA-AA-3663-01,170.33,48.9011,14.8352,24.7253
TCGA-AA-3664-01,109.3327,72.8894,37.3161,45.2014
TCGA-AA-3666-01,132.706,46.0667,21.8669,12.3761
TCGA-AA-3667-01,51.4237,38.1276,23.2578,13.6941
TCGA-AA-3673-01,110.1822,42.9806,30.0611,34.4455
TCGA-AA-3675-01,70.7965,13.6766,18.5036,11.6653
TCGA-AA-3678-01,114.177,66.9746,26.181,31.4257
TCGA-AA-3679-01,82.4611,48.389,17.4656,10.5263
TCGA-AA-3680-01,122.2981,53.5654,28.0123,38.9018
TCGA-AA-3681-01,143.9982,96.5007,42.248,43.4843
TCGA-AA-3684-01,263.5319,86.8861,139.8293,47.7312
TCGA-AA-3685-01,298.839,81.7215,43.0368,40.619
TCGA-AA-3688-01,71.7351,35.7411,15.8473,13.6869
TCGA-AA-3692-01,317.9592,71.4822,30.3423,24.0946
TCGA-AA-3693-01,100.5569,13.0291,3.8079,10.2591
TCGA-AA-3695-01,5.7336,6.6673,1.1158,6.056
TCGA-AA-3696-01,64.7014,24.038,4.7943,-0.285
TCGA-AA-3710-01,635.1535,406.392,213.3795,135.6838
TCGA-AA-3712-01,128.175,52.7037,34.5736,46.3793
TCGA-AA-3713-01,201.527,89.1814,39.3788,85.3208
TCGA-AA-3715-01,435.8959,433.9289,97.7884,92.5277
TCGA-AA-3811-01,190.4692,116.6864,37.5825,56.3323
TCGA-AA-3812-01,134.3425,24.1817,15.3115,12.5532
TCGA-AA-3814-01,371.9042,49.8386,33.2317,33.4599
TCGA-AA-3818-01,140.0813,55.5416,29.0342,34.3947
TCGA-AA-3819-01,82.6738,25.1203,12.0707,16.2314
TCGA-AA-3821-01,245.8117,56.4249,20.7384,41.1479
TCGA-AA-3831-01,177.4207,63.9217,41.2349,35.0809
TCGA-AA-3833-01,234.5342,108.7379,94.1327,55.454
TCGA-AA-3837-01,62.7386,42.0344,34.3631,25.2187
TCGA-AA-3841-01,86.0562,54.37,56.8161,24.2789
TCGA-AA-3842-01,293.7434,50.3568,29.6251,33.9864
TCGA-AA-3844-01,99.731,57.9468,25.0169,26.7592
TCGA-AA-3845-01,234.507,151.8804,472.2992,56.8874
TCGA-AA-3846-01,168.0265,38.5174,23.0698,63.61
TCGA-AA-3848-01,53.7524,62.1706,36.3246,9.8212
TCGA-AA-3850-01,208.5324,102.5109,74.2211,37.6935
TCGA-AA-3851-01,212.0197,62.8402,36.7186,44.5603
TCGA-AA-3852-01,134.353,78.6611,34.9197,27.5963
TCGA-AA-3854-01,91.6703,20.732,17.4357,10.7343
TCGA-AA-3855-01,105.2099,67.1252,36.4822,37.208
TCGA-AA-3856-01,242.7589,133.2793,57.04,94.3905
TCGA-AA-3858-01,115.317,47.4345,26.6726,13.4987
TCGA-AA-3864-01,164.569,55.8259,11.5559,34.9596
TCGA-AA-3866-01,560.7713,109.6187,59.2845,94.077
TCGA-AA-3867-01,218.2287,27.2419,26.0492,14.0724
TCGA-AA-3869-01,197.6201,81.1802,39.8187,38.9754
TCGA-AA-3870-01,317.375,83.8303,62.2184,49.173
TCGA-AA-3872-01,339.0043,82.8584,24.8217,41.7663
TCGA-AA-3875-01,152.269,66.3679,30.107,42.0122
TCGA-AA-3877-01,380.7565,108.4984,37.7404,49.3384
TCGA-AA-3930-01,282.0368,70.5741,8.0388,41.8658
TCGA-AA-3939-01,138.2129,46.1977,15.8271,32.1782
TCGA-AA-3941-01,43.5394,146.7429,18.7454,5.6584
TCGA-AA-3947-01,553.7709,22.2133,0.0291,24.3025
TCGA-AA-3949-01,791.1731,335.2117,126.0996,124.2002
TCGA-AA-3950-01,665.5702,114.0756,46.6794,60.0462
TCGA-AA-3952-01,239.1625,39.3625,5.4667,6.8539
TCGA-AA-3955-01,97.0991,14.665,4.3727,7.1138
TCGA-AA-3956-01,103.5505,47.5953,8.4984,43.0292
TCGA-AA-3966-01,508.4236,195.1744,85.4657,97.5207
TCGA-AA-3968-01,211.6048,95.9577,33.4672,41.4942
TCGA-AA-3971-01,173.0935,99.1181,33.1785,46.198
TCGA-AA-3973-01,72.6406,33.1049,9.4345,16.2197
TCGA-AA-3975-01,130.4534,71.1391,21.8427,27.0642
TCGA-AA-3976-01,103.0151,51.9957,14.5583,11.911
TCGA-AA-3977-01,355.2774,158.2305,70.8846,56.0144
TCGA-AA-3979-01,83.3154,22.3323,9.6586,1.7861
TCGA-AA-3980-01,277.2643,248.2532,51.4784,102.0837
TCGA-AA-3982-01,317.7542,140.8479,65.565,80.1054
TCGA-AA-3984-01,170.1523,124.8754,27.538,44.0598
TCGA-AA-3986-01,194.1525,217.4605,92.6475,65.2744
TCGA-AA-3989-01,148.5069,177.069,99.1548,32.9779
TCGA-AA-3994-01,174.7434,44.6946,22.3283,12.8232
TCGA-AA-A004-01,25.7978,51.9024,51.9558,-0.285
TCGA-AA-A00A-01,176.7505,110.926,37.528,55.4013
TCGA-AA-A00D-01,425.9833,246.0428,91.113,139.2052
TCGA-AA-A00E-01,299.4672,114.8082,45.5663,63.9215
TCGA-AA-A00F-01,65.2976,46.5109,14.0842,20.5557
TCGA-AA-A00J-01,245.935,49.286,14.0767,27.6351
TCGA-AA-A00K-01,66.7117,89.6932,24.7809,17.0245
